name,player_id
Nate Robinson,robinna01
Al Horford,horfoal01
Joe Johnson,johnsjo02
Wilson Chandler,chandwi01
Josh Smith,smithjo03
Mike Bibby,bibbymi01
Danilo Gallinari,gallida01
Al Harrington,harrial01
David Lee,leeda02
Chris Duhon,duhonch01
Marvin Williams,willima02
Jamal Crawford,crawfja01
Jared Jeffries,jeffrja01
Maurice Evans,evansma01
Kobe Bryant,bryanko01
Spencer Hawes,hawessp01
Beno Udrih,udrihbe01
Pau Gasol,gasolpa01
Omri Casspi,casspom01
Lamar Odom,odomla01
Andrew Bynum,bynuman01
Ime Udoka,udokaim01
Derek Fisher,fishede01
Sergio Rodríguez,rodrise01
Jason Thompson,thompja02
Andrés Nocioni,nocioan01
Shannon Brown,brownsh01
Sasha Vujačić,vujacsa01
Jonny Flynn,flynnjo01
Dwight Howard,howardw01
Ryan Anderson,anderry01
Jameer Nelson,nelsoja01
Rashard Lewis,lewisra02
Matt Barnes,barnema02
Vince Carter,cartevi01
Al Jefferson,jeffeal01
Kevin Love,loveke01
Wayne Ellington,ellinwa01
Corey Brewer,breweco01
Jason Williams,willija02
Damien Wilkins,wilkida02
Nathan Jawai,jawaina01
Rasheed Wallace,wallara01
Chris Bosh,boshch01
Ray Allen,allenra02
Tony Allen,allento01
Hedo Türkoğlu,turkohe01
Jarrett Jack,jackja01
Andrea Bargnani,bargnan01
Kendrick Perkins,perkike01
Eddie House,houseed01
Glen Davis,davisgl01
Marcus Banks,banksma01
Sonny Weems,weemsso01
Lester Hudson,hudsole01
Marco Belinelli,belinma01
Derrick Rose,rosede01
Luol Deng,denglu01
Taj Gibson,gibsota01
John Salmons,salmojo01
Kirk Hinrich,hinriki01
J.J. Redick,redicjj01
Brad Miller,millebr01
Joakim Noah,noahjo01
Roy Hibbert,hibbero01
Luther Head,headlu01
Earl Watson,watsoea01
Josh McRoberts,mcrobjo01
Mike Dunleavy,dunlemi02
Brandon Rush,rushbr01
Dahntay Jones,jonesda02
Ryan Hollins,holliry01
Ramon Sessions,sessira01
Dwyane Wade,wadedw01
Stephen Jackson,jacksst02
Quentin Richardson,richaqu01
Gerald Wallace,wallage01
Udonis Haslem,hasleud01
Boris Diaw,diawbo01
D.J. Augustin,augusdj01
Raymond Felton,feltora01
Michael Beasley,beaslmi01
Jermaine O'Neal,onealje01
Carlos Arroyo,arroyca01
Ronald Murray,murraro01
Mario Chalmers,chalmma01
Derrick Brown,brownde04
Russell Westbrook,westbru01
Kevin Durant,duranke01
Andrew Bogut,bogutan01
Michael Redd,reddmi01
Eric Maynor,maynoer01
Ersan Ilyasova,ilyaser01
Brandon Jennings,jennibr01
Hakim Warrick,warriha01
Thabo Sefolosha,sefolth01
Luke Ridnour,ridnolu01
Nick Collison,collini01
Jeff Green,greenje02
Luc Mbah a Moute,mbahalu01
Serge Ibaka,ibakase01
LeBron James,jamesle01
Devin Harris,harride01
Brook Lopez,lopezbr01
Yi Jianlian,jianlyi01
Anderson Varejão,varejan01
Shaquille O'Neal,onealsh01
Chris Douglas-Roberts,douglch01
Mo Williams,willima01
Anthony Parker,parkean01
Courtney Lee,leeco01
J.J. Hickson,hicksjj01
Zydrunas Ilgauskas,ilgauzy01
Keyon Dooling,doolike01
Terrence Williams,willite01
Chris Paul,paulch01
Trevor Ariza,arizatr01
Emeka Okafor,okafoem01
Chuck Hayes,hayesch01
Kyle Lowry,lowryky01
Aaron Brooks,brookaa01
David West,westda01
Shane Battier,battish01
Devin Brown,brownde02
Luis Scola,scolalu01
James Posey,poseyja01
Darius Songaila,songada01
Carl Landry,landrca01
Peja Stojaković,stojape01
Steve Nash,nashst01
O.J. Mayo,mayooj01
Amar'e Stoudemire,stoudam01
Lou Amundson,amundlo01
Rudy Gay,gayru01
Zach Randolph,randoza01
Sam Young,youngsa01
Marc Gasol,gasolma01
Jamaal Tinsley,tinslja01
Mike Conley,conlemi01
Goran Dragić,dragigo01
Jason Richardson,richaja01
Grant Hill,hillgr01
Channing Frye,fryech01
Brandon Roy,roybr01
Martell Webster,webstma02
Monta Ellis,ellismo01
Andre Miller,millean02
Anthony Randolph,randoan01
Corey Maggette,maggeco01
Juwan Howard,howarju01
Dante Cunningham,cunnida01
Anthony Morrow,morroan01
Stephen Curry,curryst01
Jerryd Bayless,bayleje01
Andris Biedriņš,biedran01
C.J. Watson,watsocj01
Jeff Ayres,pendeje02
Dirk Nowitzki,nowitdi01
Jason Kidd,kiddja01
Drew Gooden,goodedr01
Tyreke Evans,evansty01
Donté Greene,greendo01
Jason Terry,terryja01
J.J. Barea,bareajo01
Josh Howard,howarjo01
Shawn Marion,mariosh01
Jon Brockman,brockjo01
Nenê Hilário,hilarne01
Ty Lawson,lawsoty01
Mehmet Okur,okurme01
Carlos Boozer,boozeca01
Kenyon Martin,martike01
Deron Williams,willide01
Arron Afflalo,afflaar01
J.R. Smith,smithjr01
Paul Millsap,millspa01
Ronnie Brewer,brewero02
Chris Andersen,anderch01
Andrei Kirilenko,kirilan01
C.J. Miles,milescj01
Anthony Carter,cartean01
Antawn Jamison,jamisan01
Gilbert Arenas,arenagi01
Tim Duncan,duncati01
Roger Mason,masonro01
Caron Butler,butleca01
Tony Parker,parketo01
Andray Blatche,blatcan01
Richard Jefferson,jefferi01
Manu Ginóbili,ginobma01
Keith Bogans,boganke01
Brendan Haywood,haywobr01
Antonio McDyess,mcdyean01
Earl Boykins,boykiea01
Fabricio Oberto,obertfa01
DeSagana Diop,diopde01
Delonte West,westde01
Elton Brand,brandel01
Allen Iverson,iversal01
Rodney Carney,carnero01
Thaddeus Young,youngth01
Samuel Dalembert,dalemsa01
Andre Iguodala,iguodan01
Lou Williams,willilo02
Joey Graham,grahajo01
Jordan Farmar,farmajo01
Kris Humphries,humphkr01
Didier Ilunga-Mbenga,mbengdj01
Rodrigue Beaubois,beaubro01
Tim Thomas,thomati01
Jonathan Bender,bendejo01
A.J. Price,priceaj01
Toney Douglas,douglto01
Solomon Jones,jonesso01
DeJuan Blair,blairde01
Antoine Wright,wrighan01
DeMar DeRozan,derozde01
James Harden,hardeja01
Tyrus Thomas,thomaty01
Marcus Camby,cambyma01
Baron Davis,davisba01
Chris Kaman,kamanch01
Eric Gordon,gordoer01
Rasual Butler,butlera01
Ricky Davis,davisri01
Sebastian Telfair,telfase01
Jamaal Magloire,magloja01
Dorell Wright,wrighdo01
Randolph Morris,morrira01
Darren Collison,collida01
Nazr Mohammed,mohamna01
Charlie Villanueva,villach01
Rodney Stuckey,stuckro01
Richard Hamilton,hamilri01
Tayshaun Prince,princta01
Ben Wallace,wallabe01
Chris Wilcox,wilcoch01
Ben Gordon,gordobe01
Ronny Turiaf,turiaro01
Mickaël Piétrus,pietrmi01
Marcin Gortat,gortama01
Metta World Peace,artesro01
Josh Powell,poweljo01
Carlos Delfino,delfica01
Jarvis Hayes,hayesja01
Nick Young,youngni01
Marreese Speights,speigma01
Willie Green,greenwi01
JaVale McGee,mcgeeja01
LaMarcus Aldridge,aldrila01
Jared Dudley,dudleja01
Leandro Barbosa,barbole01
Tony Battie,battito01
Trenton Hassell,hassetr01
Randy Foye,foyera01
Craig Smith,smithcr01
Paul Pierce,piercpa01
Rajon Rondo,rondora01
Nenad Krstić,krstine01
José Calderón,caldejo01
Brandon Bass,bassbr01
Chase Budinger,budinch01
Robin Lopez,lopezro01
David Andersen,anderda03
Jason Maxiell,maxieja01
Ronnie Price,pricero01
Wesley Matthews,matthwe02
Steven Hunter,huntest01
Marcus Williams,willima03
Shelden Williams,willish02
Chauncey Billups,billuch01
Kyle Korver,korveky01
Charlie Bell,bellch01
Troy Murphy,murphtr01
Ryan Gomes,gomesry01
Danny Granger,grangda01
Amir Johnson,johnsam01
Rafer Alston,alstora01
Joel Anthony,anthojo01
Erick Dampier,dampier01
George Hill,hillge01
Mike Miller,millemi01
Hasheem Thabeet,thabeha01
Sasha Pavlović,pavloal01
Austin Daye,dayeau01
Jrue Holiday,holidjr01
Jonas Jerebko,jerebjo01
Zaza Pachulia,pachuza01
Al Thornton,thornal01
Jodie Meeks,meeksjo01
Adam Morrison,morriad01
Jawad Williams,willija04
Ian Mahinmi,mahinia01
Chris Quinn,quinnch01
Marcus Thornton,thornma01
Brian Scalabrine,scalabr01
Jannero Pargo,pargoja01
Kwame Brown,brownkw01
Carmelo Anthony,anthoca01
Vladimir Radmanović,radmavl01
Cartier Martin,martica01
Tyler Hansbrough,hansbty01
Rasho Nesterović,nestera01
Kurt Thomas,thomaku01
Earl Clark,clarkea01
DeAndre Jordan,jordade01
Luke Walton,waltolu01
Chucky Atkins,atkinch01
DeShawn Stevenson,stevede01
Jeff Teague,teaguje01
Devean George,georgde01
J.R. Giddens,giddejr01
Brian Skinner,skinnbr01
Steve Blake,blakest01
Dan Gadzuric,gadzuda01
Sundiata Gaines,gainesu01
Joe Smith,smithjo02
Chris Hunter,huntech01
Kevin Martin,martike02
Rudy Fernández,fernaru01
Jordan Hill,hilljo01
DeMarre Carroll,carrode01
Anthony Tolliver,tollian01
Brian Cardinal,cardibr01
James Johnson,johnsja01
James Singleton,singlja01
Mardy Collins,collima01
Kevin Garnett,garneke01
Josh Boone,boonejo01
Julian Wright,wrighju01
Jerry Stackhouse,stackje01
Daniel Gibson,gibsoda01
Danny Green,greenda02
Marcus Landry,landrma01
Mike James,jamesmi01
Sean May,mayse01
Jamario Moon,moonja01
Bobby Brown,brownbo02
Nicolas Batum,batumni01
Daequan Cook,cookda02
Malik Allen,allenma01
Morris Peterson,petermo01
Mario West,westma02
Anthony Johnson,johnsan02
Coby Karl,karlco01
Matt Bonner,bonnema01
Will Bynum,bynumwi01
Stephen Graham,grahast01
Larry Hughes,hughela01
T.J. Ford,fordtj01
Joey Dorsey,dorsejo01
Dominic McGuire,mcguido01
Hilton Armstrong,armsthi01
Chris Richard,richach01
Marquis Daniels,daniema01
Aaron Gray,grayaa01
Johan Petro,petrojo01
Quinton Ross,rossqu01
Royal Ivey,iveyro01
Tyson Chandler,chandty01
Jason Smith,smithja02
Eduardo Nájera,najered01
Francisco García,garcifr01
Garrett Temple,templga01
Darrell Arthur,arthuda01
Theo Ratliff,ratlith01
Tracy McGrady,mcgratr01
Reggie Evans,evansre01
Darko Miličić,milicda01
Hamed Haddadi,haddaha01
Kyrylo Fesenko,fesenky01
Henry Walker,walkebi01
Malik Hairston,hairsma01
Travis Outlaw,outlatr01
Leon Powe,powele01
Patrick O'Bryant,obryapa01
Reggie Williams,willire02
Shaun Livingston,livinsh01
Gerald Henderson,hendege02
Michael Finley,finlemi01
Acie Law,lawac01
Cedric Jackson,jacksce01
Alonzo Gee,geeal01
James Jones,jonesja02
Jason Kapono,kaponja01
DaJuan Summers,summeda01
Oleksiy Pecherov,pecheol01
Othyus Jeffers,jeffeot01
Kyle Weaver,weaveky01
D.J. White,whitedj01
Kevin Ollie,ollieke01
Mike Harris,harrimi01
Jermaine Taylor,tayloje02
Earl Barron,barroea01
Kosta Koufos,koufoko01
Steve Novak,novakst01
Oliver Lafayette,lafayol01
Shavlik Randolph,randosh01
Patty Mills,millspa02
Jarron Collins,collija03
Etan Thomas,thomaet01
Primož Brezec,brezepr01
Yao Ming,mingya01
Raja Bell,bellra01
Francisco Elson,elsonfr01
Gordon Hayward,haywago01
Blake Griffin,griffbl01
DeMarcus Cousins,couside01
Wesley Johnson,johnswe01
Derrick Favors,favorde01
Evan Turner,turneev01
Paul George,georgpa01
James Anderson,anderja01
Landry Fields,fieldla01
Linas Kleiza,kleizli01
John Wall,walljo01
Timofey Mozgov,mozgoti01
Xavier Henry,henryxa01
Brian Cook,cookbr01
Darnell Jackson,jacksda01
Manny Harris,harrima01
Ömer Aşık,asikom01
Eric Bledsoe,bledser01
Jeremy Lin,linje01
Brandan Wright,wrighbr03
Armon Johnson,johnsar02
Gary Neal,nealga01
Greg Monroe,monrogr01
Nikola Peković,pekovni01
Gary Forbes,forbega01
Lazar Hayward,haywala01
Melvin Ely,elyme01
Luke Babbitt,babbilu01
Ish Smith,smithis01
Josh Childress,childjo01
Cole Aldrich,aldrico01
Semih Erden,erdense01
Al-Farouq Aminu,aminual01
Tiago Splitter,splitti01
Trevor Booker,booketr01
Greivis Vásquez,vasqugr01
Jeff Adrien,adrieje01
Derrick Caracter,caracde01
Willie Warren,warrewi01
Jordan Crawford,crawfjo02
Matt Carroll,carroma01
Jeff Foster,fosteje01
Damion James,jamesda01
Larry Sanders,sandela01
Kevin Séraphin,serapke01
Sean Marks,marksse01
Quincy Pondexter,pondequ01
Eugene Jeter,jetereu01
Shawne Williams,willish03
Joel Przybilla,przybjo01
Samardo Samuels,samuesa01
Von Wafer,wafervo01
Ed Davis,davised01
Jason Collins,collija04
Jeremy Evans,evansje01
Ekpe Udoh,udohek01
Ike Diogu,dioguik01
Renaldo Balkman,balkmre01
Ben Uzoh,uzohbe01
Alexis Ajinça,ajincal01
Patrick Patterson,pattepa01
Dominique Jones,jonesdo02
Christian Eyenga,eyengch01
Luke Harangody,haranlu01
Mustafa Shakur,shakumu01
Trey Johnson,johnstr01
Sherron Collins,collish01
Zabian Dowdell,dowdeza01
Chris Johnson,johnsch03
Lance Stephenson,stephla01
Hamady N'Diaye,ndiayha01
Larry Owens,owensla01
Avery Bradley,bradlav01
Byron Mullens,mulleby01
Pape Sy,sypa01
Norris Cole,coleno01
Klay Thompson,thompkl01
Iman Shumpert,shumpim01
Kemba Walker,walkeke02
Kyrie Irving,irvinky01
Tristan Thompson,thomptr01
Sean Williams,willise01
Brandon Knight,knighbr03
Derrick Williams,willide02
Ricky Rubio,rubiori01
Markieff Morris,morrima02
Devin Ebanks,ebankde01
Kawhi Leonard,leonaka01
Jeremy Pargo,pargoje01
Chris Singleton,singlch01
Enes Kanter,kanteen01
Jon Leuer,leuerjo01
MarShon Brooks,brookma01
Jimmer Fredette,fredeji01
Bismack Biyombo,biyombi01
Alec Burks,burksal01
Greg Stiemsma,stiemgr01
Chandler Parsons,parsoch01
Josh Selby,selbyjo01
Josh Harrellson,harrejo01
Isaiah Thomas,thomais02
Josh Davis,davisjo02
John Lucas III,lucasjo02
Terrel Harris,harrite01
Ivan Johnson,johnsiv01
Dexter Pittman,pittmde01
Carldell Johnson,johnsca01
Nikola Vučević,vucevni01
Reggie Jackson,jacksre01
Tobias Harris,harrito02
Vernon Macklin,macklve01
Jan Veselý,veselja01
Darius Morris,morrida01
Charles Jenkins,jenkich01
Gustavo Ayón,ayongu01
Shelvin Mack,macksh01
E'Twaun Moore,mooreet01
Trey Thompkins,thomptr02
Cory Joseph,josepco01
Courtney Fortson,fortsco01
Walker Russell,russewa02
Cory Higgins,higgico01
Lavoy Allen,allenla01
Andrew Goudelock,goudean01
Julyan Stone,stoneju01
Mychel Thompson,thompmy02
Jordan Williams,willijo03
Jimmy Butler,butleji01
Kenneth Faried,farieke01
JaJuan Johnson,johnsja02
Lance Thomas,thomala01
Donald Sloan,sloando01
Jordan Hamilton,hamiljo02
Andre Emmett,emmetan01
Greg Smith,smithgr02
Elliot Williams,williel01
Eric Dawson,dawsoer01
Gerald Green,greenge01
Chris Wright,wrighch01
Bobby Simmons,simmobo01
Nolan Smith,smithno01
DeAndre Liggins,liggide01
Jeremy Tyler,tylerje01
Jerry Smith,smithje01
Marcus Morris,morrima03
Mickell Gladness,gladnmi01
Edwin Ubiles,ubileed01
Malcolm Lee,leema01
Alan Anderson,anderal01
Hassan Whiteside,whiteha01
Jerome Dyson,dysonje01
Justin Dentmon,dentmju01
Daniel Orton,ortonda01
Solomon Alabi,alabiso01
Darryl Watkins,watkida01
Mikki Moore,mooremi01
D.J. Kennedy,kennedj01
Jerome Jordan,jordaje01
Craig Brackins,brackcr01
Derrick Byars,byarsde01
Justin Harper,harpeju01
Tyler Honeycutt,honeyty01
Morris Almond,almonmo01
Eddy Curry,curryed01
Dion Waiters,waitedi01
Bradley Beal,bealbr01
Tyler Zeller,zellety01
Kim English,engliki01
Kyle Singler,singlky01
Anthony Davis,davisan02
P.J. Tucker,tuckepj01
Damian Lillard,lillada01
Meyers Leonard,leoname01
Jonas Valančiūnas,valanjo01
Jared Sullinger,sullija01
Michael Kidd-Gilchrist,kiddgmi01
Festus Ezeli,ezelife01
